Date,Time,Location,Latitude,Longitude,Operator,Flight #,Route,AC Type,Registration,cn/ln,Aboard,Aboard Passangers,Aboard Crew,Fatalities,Fatalities Passangers,Fatalities Crew,Ground,Summary
9/2/1944,,"Belgrad, Yugoslavia",42.96361,-99.0967626,Deutsche Lufthansa,,Athens - Sofia - Belgrade - Vienna,Junkers JU52/3m,D-AUAW,641039,5,2,3,5,2,3,0,Shot down by allied fighters.
9/7/1944,,"Near Mossman, Queensland, Australia",20.8325254,-75.7284267,Military - Royal Netherlands East Indies Air Force,,Merauke -- Cairns,C-47 Dakota DT-941,VH-RDK,12880,20,16,4,20,16,4,0,"The plane went missing while en route from Merauke to Cairns. The last radio contact was 15 minutes before ETA.  A scientific expedition found the wreckage in January 1989, 65 km northwest from Cairns at a height of 1,200 meters."
9/17/1944,21:20,"Copeland, Kansas",52.3219241,1.5984999,Military - U.S. Army,,,Consolidated B-24 Liberator,,,13,0,13,13,0,13,2,The bomber crashed into a farmhouse.
9/18/1944,7:42,Alaska,53.753825,-2.868558,U. S. Air Force,,"Elmindorf AFB, Anchorage - Ladd Field, Fairbanks",Douglas C-47A-90-DL,43-15738,20204,19,16,3,19,16,3,0,Struck the side of a mountain while in full flight. Cause unknown but weather conditions suspected.
9/21/1944,,"Rio Doce, Brazil",55.495587,-4.6142139,Panair do Brasil,,Rio de Janeiro - Belem,Lockheed 18 Lodestar,PP-PBH,2113,17,13,4,17,13,4,0,"While en route, the right engine failed, forcing the crew to reduce their altitude in an attempt to make an emergency landing. Eventually, the aircraft went out of control and crashed."
9/27/1944,20:30,"Near Dijon, France",58.5035047,13.1570768,Deutsche Lufthansa,,Stuttgart - Barcelona,Focke-Wulf FW 200,D-AMHL,200021,9,5,4,9,5,4,0,Missing on a flight from France to Spain. Shot down by an American Bristol Beau allied night fighter.
10/7/1944,,"Near Sadiya, India",-23.5557714,-46.6395571,China National Aviation Corporation,,Dinjan - Suifu,Douglas C-47,101,,3,0,3,3,0,3,0,Both wing of the cargo plane separated from the fuselage after the aircraft penetrated a thunderstorm.
10/10/1944,,Bosnia,44.8125449,20.46123,Deutsche Lufthansa,,,Junkers JU-52/3m,D-AUSS,641382,7,4,3,7,4,3,0,
10/11/1944,,"Sydney, Australia",-16.4592372,145.3737953,Qantas,,,Short S-23 (flying boat),VH-ABB,S-877,30,NULL,NULL,1,NULL,NULL,0,"On final approach with one engine shut-down, stalled 10 ft above the water and hull ruptured on impact."
10/11/1944,7:30,"Sydney, Australia",37.5419685,-100.6296,Qantas,,Sydney - Townsville,Short S.23 Empire Flying Boat,VH-ABB,S-877,29,22,7,1,1,0,0,While landing on the water the plane broke up and sank. One passenger drowned.
10/16/1944,20:25,"Telemark, Norway",63.588753,-154.4930619,Deutsche Lufthansa,,Frankfurt - Berlin - Hamburg - Copenhagen - Oslo,Junkers JU-52/3m,D-ADQV,640608,15,12,3,15,12,3,0,Crashed into Mt Skorvefjell in poor weather conditions.
10/17/1944,7:40," Komarom,, Hungary",-20.2448257,-42.8962967,Deutsche Lufthansa,,,Junkers JU-52/3m,D-ASHE,640601,9,6,3,1,1,0,0,Shot down by British Mosquito fighters.
10/18/1944,15:40,"Birkenhead, England",47.3301336,5.0480484,Military - U.S. Army Air Forces,,Liverpool - New York,Consolidated B24H,42-50347,,24,19,5,24,19,5,0,Broke-up in flight either due to an explosion or catastrophic structural failure of the aircraft.
11/4/1944,17:15,"Hanford, California",27.860175,95.6273951,Trans Continental and Western Air,8,San Francisco - New York City,Douglas DC-3,NC28310,2251,24,21,3,24,21,3,0,"The wing separated from the aircraft after entering a thunderstorm and encountering severe turbulence. The failure of the airplane's structure as a result of severe turbulence, an important contributing cause was the fact that the airplane was undoubtedly in an abnormal attitude of flight,  i.e., inverted, at the instant of structural failure. The cause of the airplane becoming inverted was not determined."
11/6/1944,,"Jacksonville, Florida",43.915886,17.679076,Military - US Navy,,,Douglas C-47 Skytrain (DC-3),39063,9941,17,14,3,17,14,3,0,Colllided with a Navy Goodyear FG-1A Corsair airship.
11/9/1944,,"Seljord, Norway",-33.8727409,151.2057136,Military - U.S. Army Air Corps,,,NULL,42-52196,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
11/10/1944,,"Near Kumming, Yunan, China",-33.8727409,151.2057136,CATC,,,Lockheed Hudson,,,20,17,3,20,17,3,0,Crashed while attempting to land.
11/19/1944,15:10,"Lewes, England",59.3913985,8.321121,Military - U.S. Army Air Forces,,Chateaudun - Greenham Common,Douglas C-47A-DL,43-15046,19512,30,25,5,25,20,5,0,"Flying in low overcast, the aircraft struck a hill, exploded and burned."
11/29/1944,,"Nairobi, Kenya",47.7390852,18.1267006,BOAC,,Cairo - Juba - Nairobi - Salisbury,Lockheed 18 LodeStar,G-AGBW,,11,7,4,11,7,4,0,"Crashed in the Aberdare Mountains, 50 miles from it's destination after entering a thunderstorm. The wreckage was not located for a month."
11/29/1944,15:00,"Tegucigalpa, Nicaragua",53.3881164,-3.0299176,TACA,,Near Tegucigalpa - San Pedro Sula,Ford 5-AT-B Tri-Motor,XH-TAN,,16,14,2,16,14,2,0,Crashed while en route. Failure of a wing probably having been weakened by viabration turbulence and constant operation on rough fields.
11/29/1944,10:25,"Off Falsterbo, Sweden",36.3274502,-119.6456844,Deutsche Lufthansa,,"Stockholm, Sweden - Berlin Germany",Focke-Wulf FW 200,D-ARHW,2994,10,6,4,10,6,4,0,Shot down by a German patrol boat.
11/30/1944,,"Dinjan, China",30.3297566,-81.6591529,China National Aviation Corporation,,,Douglas C-47,56,,3,0,3,3,0,3,0,The cargo plane flew into Digboi Mountain after losing both engines.
12/1/1944,0:54,"Van Nuys, California",59.7140129,8.3574981,Trans Continental and Western Air,13,San Francisco - Burbank - New York City,Douglas DC-3,NC17322,1965,17,14,3,9,6,3,0,The plane crashed and burned 6.5 miles west northwest of the Bubank Airport in dense fog. The pilot's deviation from the standard instrument approach procedure and descent below the established safe minimum altitude. A contributing factor was the company's failure to enforce adherence to company procedures.
12/3/1944,,Atlantic Ocean,24.8796599,102.83322,Trans-Canada Air Lines,,,Avro 683 Lancaster,CF-CMU,,5,NULL,NULL,5,NULL,NULL,0,
12/7/1944,15:15," Orlivka, Ukraine",50.873872,0.00878,Aeroflot,,Chisinau - Kiev - Moscow,Lisunov LI-2,CCCP-L4161,1849106,16,11,5,16,11,5,0,Crashed in a revine in fog. Wrong decision on part of the crew to reduce their altitude and flying in minima weather conditions.
12/15/1944,14:00,English Channel,-1.2920659,36.8219462,Military - U.S. Army Air Forces,,"Twinwood, England - Villacoublay, France",UC-64A Noorduyn Norseman,44-70286,550,3,2,1,3,2,1,0,"Disappeared over the English Channel en route from Bedford England to Paris, France. Band leader and musician Glenn Miller, 40, killed along with flight officer John Morgan and Lt. Colonel Norman Baessell. It has been theorized the plane may have been hit by bombs being jettisoned over the English Channel by RAF bombers on their way home from an unsuccessful raid. Wreckage and bodies were never found. The most accepted explanation is the pilot was not instrument rated and flew into worsening weather conditions and possibly carburetor icing caused an engine failure causing the plane to crash into the English Channel."
1/6/1945,,"Near Dinjan, India",12.865416,-85.207229,China National Aviation Corporation,,Kunming - Tengchung,Douglas C-47,77,,4,0,4,4,0,4,0,The cargo plane crashed in strong winds
1/8/1945,21:16,"Port of Spain, Trinidad",55.397121,12.8415278,Pan American World Airways,161,Miami - Leopoldville,Martin M-130 (flying boat),NC14716,558,30,NULL,NULL,23,NULL,NULL,0,"The aircraft crashed 1.25 miles short of the intended landing area in a nose-down attitude at too great a speed and broke up in the water. The first officer's failure to realize his proximity to the water and to correct his attitude for a normal landing and the lack of adequate supervision by the captain during the landing, resulting in the inadvertent flight into the water in excess of normal landing speed and in a nose-down attitude. The aircraft was named China Clipper."
1/10/1945,4:10,"Burbank, California",35.86166,104.195397,American Airlines,6001,"New York City - Juarez, Mexico - Burbank",Douglas DC-3,NC25684,2215,24,21,3,24,21,3,0,"The aircraft, lost in fog, crashed into the Verdugo Mountains,  while attempting to reach Palmdale Airport, its alternate landing site, after being unable to land at Burbank Airport. The company ground personnel failed to obtain and transmit important weather to the pilot. Improperly executed missed approach by the pilot. Actress Donna Reed was returning from Juarez where she obtained a divorce from her husband but was bumped from the flight just prior to takeoff  to make room for a military officer holding a wartime-travel priority pass."
1/14/1945,,China,34.2012166,-118.466222,China National Aviation Corporation,,,Douglas C-47,70,,6,0,6,4,0,4,0,The cargo plane struck a mountain.
1/16/1945,,"Near Kunming, China",-14.5994134,-28.6731465,China National Aviation Corporation,,Chongqing - Kunming,Douglas C-47,,,3,0,3,3,0,3,0,
1/23/1945,,"Timor, Indonesia",45.3204643,28.4454511,Military - Royal Australian Air Force,,,Consolidated Liberator,A72-70,,11,NULL,NULL,11,NULL,NULL,0,
1/31/1945,8:25,"Redesdale, Australia",50.134664,-0.357056,Australian National Airways,,Melbourne - Kerang - Mildura - Broken Hill,Stinson Model A,VH-UYY,9130,10,8,2,10,8,2,0,Crashed while en route from Melbourne to Broken Hill. Believed caused by metal fatigue in the outer port wing which broke off during severe turbulence.
2/2/1945,10:15,"Near Montieri, Italy",27.4943232,95.1634784,Military - U.S. Army Air Forces,,Florence - Rome,Douglas C-47-DL,41-18603,4728,26,22,4,23,21,2,0,Crashed into a mountain after encountering a fog bank and not climbing in sufficient time to avoid the terrain.
2/6/1945,10:05,"Nunters Burgh, England",10.6540251,-61.5097236,Military -Royal Air Force,,Thorney Island - Amiens,Douglas C-47 Dakota,KG630,13390,23,19,4,23,19,4,0,Struck a mountain while flying in low clouds and poor visibility.
2/13/1945,6:30,"Off Oakland, California",34.1820605,-118.3074827,Military - U.S. Navy,,,Douglas R4D-6,50765,14848/26293,24,21,3,24,21,3,0,Crashed into San Francisco bay shortly after taking off. The right wing struck to water as the plane made a wide turn. Malfunction of the gyro.
2/15/1945,,"Lagoa Santa, Brazil",35.86166,104.195397,Navegacao Aerea Brasileira,,,Lockheed 18 Loadstar,PP-NAE,2149,11,7,4,11,7,4,0,Crashed while en route.
2/23/1945,,"Snezka mountains, Poland",24.8796599,102.83322,Military - German Army,,,Junkers 52/3m,4V+DR,6820,8,8,0,8,8,0,0,Crashed in the Snezka mountains during an ice storm.
2/23/1945,,"Casablanca, Morocco",-9.8627946,124.3310364,Military - United States Army Air Force,,,Curtiss C-46A,42-107377,27064,30,26,4,13,13,0,0,
2/23/1945,2:25,"Marion, Virginia",-37.0033555,144.5011709,American Airlines,9,New York City - Los Angeles,Douglas DC-3,NC18142,2138,22,19,3,17,15,2,0,"The aircraft flew into the summit of Glade mountain at 3,900 ft., in heavy rain and turbulence  while en route. The pilot's failure to properly  plan the flight and remain at a safe instrument altitude under existing conditions. A contributing cause of the accident was the company's laxity in dispatching and supervising the flight."
3/27/1945,,"Coral Sea, off Australia",43.1308191,11.0164377,Military - U.S. Air Force,,Cooktown - Finschafen,Douglas C-47A-90-DL,43-16011,20477,24,20,4,24,20,4,0,Disappeared en route.
4/9/1945,,"Kunming, China",52.780418,1.285875,China National Aviation Corporation,,Kunming - Sichang,Douglas C-47,88,,3,0,3,3,0,3,0,The cargo plane struck a mountain in the Himalayas under poor weather conditions.
4/14/1945,16:58,"Morgantown, West Virginia",37.8043514,-122.2711639,Pennsylvania Central Airlines,142,Pittsburgh - Morgantown,Douglas DC-3,NC25692,2262,20,17,3,20,17,3,0,"The aircraft crashed against the slope of Cheat Mountain at 2,100 ft., 7 miles east northeast of Morgantown. The action of the pilot in continuing flight over mountainous terrain under instrument conditions, below the minimum authorized instrument altitude."
4/19/1945,5:35,"Near Perth, Australia",-19.644747,-43.9045106,Military - U.S. Navy,,Perth - Adelaide,Douglas DC-3,39067,10017,13,11,2,13,11,2,0,Failed to gain altitude while taking off. The transport crashed into a hillside as it took off in heavy fog at Guildford Airport.
4/20/1945,6:40,"Sweetwater, Texas",50.7360171,15.7399457,Military - U.S. Army Air Forces,,"Midland, TX - Nashville, TN",Douglas C-47-DL,41-18451,4513,25,22,3,25,22,3,0,Broke-up after entering an area of thunderstorms. Initial structural failure involved the elevator followed by the entire aircraft.
4/20/1945,,"Near Steinreich, Germany",36.8348383,-81.5148368,Lufthansa,,Berlin - Prague - Vienna - Munich,Junkers JU-53/3m,D-ANAJ,,20,17,3,18,15,3,0,Missing on an evacuation flight from Berlin to Munich. Shot down by Soviet forces south of Berlin.
4/21/1945,22:05,"Near Piesenkofen, Germany",33.5731104,-7.5898434,Deutsche Lufthansa,,Berlin - Munich,Focke-Wulf FW 200,D-ASHH,,21,16,5,21,16,5,0,Shot down by Allied forces 50 miles from its destination.
4/23/1945,,"North Barrule, Isle of Man, England",-25.274398,133.775136,Military - U.S. Air Force,,Ridgewell - Nutts Corner,B17G Flying Fortress,43-38856,9834,31,26,5,31,26,5,0,"While cruising at an altitude of 2,000 feet, the aircraft hit the slope of Mt North Barrule located 2 miles south of Ramsey."
4/27/1945,12:40,Washington D.C.,24.8796599,102.83322,Page Airways,,Washington - New York,Lockheed 18 Lodestar,NC33328,2221,13,11,2,6,6,0,0,"Lost an engine during takeoff, settled back on the runway, overran the runway, rolled to the right and crashed into a drainage ditch and burned. Engine failure during a critical point in the take-off followed by the pilot executing an emergency landing under unfavorable conditions. Contributing factors were the strong gusts and ground turbulence which prevailed at the time and the presence of a deep ditch near the runway."
5/5/1945,22:26,"Manus Island, New Guinea",39.6304078,-79.954468,Military - U.S. Army Air Forces,,Lorengau - Biak,Douglas C-54E-DO (DC-4),44-9043,27269,21,15,6,21,15,6,0,Crashed into a wooded area shortly after taking off from Sorido airstrip at night. Cause unknown.
5/6/1945,12:55,"Hindhead, England",-31.9513993,115.8616783,Military - U.S. Army Air Forces,,,Curtiss-Wright C-46D-CU,44-77839,33235,30,25,5,30,25,5,1,"Flying low because of poor visiblity, the aircraft struck a radar tower, lost its right wing, crashed and burned. Pilot error. Flying VFR in IFR conditions."
5/9/1945,1:30,"Roye, France",51.9433907,13.444467,Military -Royal Air Force,,England - Brussels,Avro Lancaster,RF230,,31,25,6,31,25,6,0,The aircraft went in to a spin and crashed in a wooded area and caught fire.
5/13/1945,15:00,"Iran Jayas, New Guinea",32.4709519,-100.4059384,Military - U.S. Army Air Forces,,,Douglas C-47B-DK,43-49788,27049,23,19,4,20,16,4,0,"Crashed into a mountain at 7,000 feet. Three passengers rescued two weeks later. All occupants were members of the women's military corps of the US Army."
5/30/1945,9:20,"Off Drewin, Ivory Coast",48.9620681,12.149544,Military - U.S. Army Air Forces,,"Accra, Ghana - Monrovia, Liberia",Douglas C-47B-dK,44-76406,32738,21,18,3,21,18,3,0,Disappeared off the Atlantic coast after sending a distress message. A witness observed the plane hit the water at a 45 degree angle. No wreckage or bodies were ever found.
6/15/1945,,China,54.2833333,-4.4,China National Aviation Corporation,,,Douglas C-47,81,,3,0,3,3,0,3,0,"The aircraft crashed into a mountain in the Carstenz Range at an altitude of 14,200 ft. The wreckage was discovered in December 1970."
6/24/1945,10:30,"Gealdton, Australia",38.9071923,-77.0368707,Mac Robertson Miller Airlines,,Perth - Geraldton - Carnarvon - Port Hedland,de Havilland DH-86A,VH-USF,2310,11,9,2,2,1,1,0,"The takeoff appeared normal but the aircraft did not climb and turned back for a landing. It flew hangars at about 300 feet then made a steep turn to port, followed by a wide low circuit back to the runway with port wing low. When just inside the airport, it dropped heavily on the starboard main undercarriage, bounced, contacted the ground with the tail wheel and bounced again. Striking the ground for the third time, on the port main wheel, as it bounced higher, engine power was applied but the aircraft swung to the left, banking steeply until the left wings were torn off by ground contact. The aircraft cartwheeled and hit the ground nose-first."
6/25/1945,7:50,"Swanage, England",-2.0941169,146.8760951,Military -Royal Air Force,,,Consolidated LB-30A Liberator,JT985,,27,NULL,NULL,27,NULL,NULL,0,Crashed and burned on a hillside after experiencing engine failure.
6/29/1945,,"Bangalore, India",51.113618,-0.732073,Military - Royal Indian Air Force,,,NULL,,,2,NULL,NULL,2,NULL,NULL,36,Crashed into a village exploding and destoying several houses.
6/30/1945,,Texas,49.697797,2.788831,Military - U.S. Air Force,,,Boeing TB-29A Super Fortress,44-69943,,12,NULL,NULL,12,NULL,NULL,0,
7/4/1945,,North Atlantic Ocean,-4.185235,136.8252838,Military -Royal Air Force,,Montreal - Gander - Keflavik - Prestwick - Northolt,Consolidated LB-30A Liberator,JT982,90030,15,NULL,NULL,15,NULL,NULL,0,Disappeared on a trans-Atlantic flight from Montreal to England.
7/11/1945,,"Near Kisumu, Kenya",4.9158299,-6.1540241,Military - South African Air Force,,Kisumu - Durban,Douglas C-47,6812,6812,28,24,4,28,24,4,0,Crashed  on an island  located in Winam Bay shortly after take off Kismu.
7/12/1945,14:36,"Near Florence, South Carolina",35.86166,104.195397,Eastern Air Lines / Military - U.S. Army Air Corps,45,Boston - NY - Washington DC - Jacksonville - Miami,Douglas DC-3-201C /  Army A-26,NC25647,2235,10,4,6,3,1,2,0,"After deviating off course 8 miles to avoid military traffic, the two planes collided at 3,000 ft. The commercial pilot landed the plane in a corn field.  Two occupants of the A-26 (33-35553) were killed and one parachuted safely. One infant was killed on the DC-3.  Lack of vigilance on the part  of the pilots of both aircraft, resulting in the failure of each pilot to see the other aircraft in time to  avoid a collision."
7/28/1945,9:49,"New York, New York",-28.7761346,114.611295,Military - U.S. Army Air Forces,,Bedford - New York,North American B-25D bomber,43-0577,87-8742,3,1,2,3,1,2,11,"A U.S. Army Air Force plane crashed into the 79th floor of the Empire State Building in heavy fog.  Lt. Col. William Franklin Smith Jr., the pilot, became disoriented while trying to land at Newark Airport.  Lt. Smith was told he had a 3 hour wait to land at Newark. Impatient to get his plane on the ground, he falsely declared he had official business at La Guardia Airport with the intention of diverting to Newark as soon as he was cleared. The 12 ton plane smashed a 20 ft. hole in the building. Fuel from the ruptured gas tanks poured out and set two floors ablaze killing 10 people. One engine exited the south side of the building and plunged into a penthouse below.  The second engine entered an elevator shaft and severed the cables plunging the car and the elevator operator 1,000 feet into a sub basement. Despite suffering a broken back, pelvis and legs, she survived."
8/1/1945,9:50,"Near San Luis Potosi, Mexico",50.608277,-1.960769,Lineas Aereas Mineras,,Mexico City - Nogales,Boeing 247D,XA-DUY,1723,12,9,3,12,9,3,0,Crashed into mountainous terrain after encountering engine failure..
8/3/1945,10:11,"Fort de France, Martinique",12.9628669,77.577509,Pan American World Airways,216,Port of Spain - Fort de France,Sikorsky S-43 (flying boat),NC15066,4306,14,10,4,4,4,0,0,The aircraft crashed while landing at Fort de France. The plane sank and 4 passengers drowned. The attempt by the pilot to land the aircraft in conditions of water surface not suitable for landing of a flying boat.
8/11/1945,16:00,"Ixtaccihuati, Mexico",31.9685988,-99.9018131,Mexicana,,Tapachula - Mexico City,Douglas DC-2-243,XA-DOT,2075,16,12,4,16,12,4,0,Crashed in Ixtaccihuatl mountain 40 miles east-sout-east of Mexico City. Navigational error as the crew's last message stated they were in an entirely different area.
9/7/1945,2:13,"Florence, South Carolina",35.746512,-39.462891,Eastern Air Lines,42,Miami - New York City,Douglas DC-3,NC33631,4137,22,19,3,22,19,3,0,"Fire was discovered on board the aircraft after having passed Florence. The fire originated in the general area of the right side of the rear cargo compartment and lavatory. The aircraft descended to a lower altitude while returning to Florence, struck two large  trees and crashed.  A fire of undetermined origin in the rear cargo compartment or lavatory which resulted in the inability of the pilot to maintain altitude long enough to effect an emergency landing."
9/11/1945,10:15,"Near Milne Bay, New Guinea",-0.0917016,34.7679568,Military - Royal Australian Air Force,,Milne Bay - Dobodura,Douglas C-47A,A6556,25365,11,7,4,11,7,4,0,Left Milne Bay on routine flight  to Dobodura at 10:15. Crashed into sea near Milne Bay.
9/15/1945,0:08,"Near Kansas, Missouri",34.1973393,-79.7660945,Military - U.S. Army Air Forces,,,Douglas C-47B-DK,45-1011,34277,24,21,3,23,20,3,0,"Failed to gain altitude while taking off, struck trees, lost both wings, exploded and burned. Engine failure."
9/18/1945,,"Puncak Jaya, Papua New Guinea",40.7127753,-74.0059728,Military - Royal Australian Air Force,,Pitu - Merauke - Bamaga - Townsville,Douglas C-47B-5-DK,A65-61,14554/25999,29,26,3,29,26,3,0,"A month later the wreckage was found  on the slope of a mountain located near Mt Puncak Jaya, southwest of Mulia, 100 feet from the summit. It"
9/28/1945,,"Near Chihkiang, China",22.1520892,-100.9733024,Military - United States Army Air Force,,,Curtiss C-46D,42-101183,30638,20,17,3,20,17,3,0,Crash 32 km southeast of Chinkiang under unknown circumstances.
10/5/1945,1:05,"Lakeland, Florida",14.6060576,-61.069884,National Airlines,16,Miami - Jacksonville,Lockheed 18 Lodestar,NC18199,2265,15,12,3,2,2,0,0,Crashed into a lake while attempting to execute a missed approach. The faulty execution of a missed approach procedure resulting in settling of the aircraft into a water area beyond the landing runway.
10/5/1945,12:50,"Elvetham, England",19.3898592,-99.1352383,Military -Royal Air Force,,England - Prague,Consolidated LB-40-A Liberator,,,23,18,5,23,18,5,0,Cashed and burned shortly after takeoff after experiencing an engine fire in the No. 2 engine.
10/7/1945,0:30,"Rennes, France",34.1973393,-79.7660945,Military - Royal Air Force,,London - Cairo,Short Stirling IV,LJ668,,26,20,6,26,20,6,0,Lost altitude while in a turn and attempting to land and crashed and burned short of the runway.
10/13/1945,20:45,"Melsbroek, Belgium",-9.5221451,150.6749653,Military -Royal Air Force,,London - Brussels - New Delhi,Consolidated LB-30-A Liberator,KL595,,31,25,6,31,25,6,0,The aircraft failed to gain speed or altitude and struck a hill at the end of the runway.
10/16/1945,11:30,"Near Peking, China",39.0997265,-94.5785667,Military - U.S. Army Air Forces,,Hankou - Peking,Curtiss-Wright C-46F-CU,44-78591,22414,59,55,4,59,55,4,0,Struck a radio transmission tower while on approach for landing at Nanyman field after encountering low clouds and poor visibility.
10/20/1945,,"Between Shanghi and Canton, China",-3.4467891,137.8427298,China National Aviation Corporation,,Shanghai - Canton,Douglas C-47,,,31,28,3,31,28,3,0,"Crashed into a mountain while en route, flying at a low altitude in adverse meteorological conditions."
10/20/1945,,"Timor Sea, Atlantic Ocean",35.86166,104.195397,Military - Royal Australian Air Force,,"Ambon, Indonesia - Darwin, Australia",Douglas C-47B,A65-83,16127/32875,25,21,4,25,21,4,0,Disappeared en route.
10/23/1945,,"Near Chiringa, India",28.042093,-81.9534956,Military - Royal Air Force,,,Douglas C-47B,KJ957,14804/26249,14,12,2,14,12,2,0,Penetrated a thunderstorm and broke-up.
10/24/1945,,"Valetta, Malta",51.3138584,-0.8862909,BOAC,,London - Valetta - Cairo,Douglas C-47 Skytrain (DC-3),G-AGHR,10097,16,13,3,9,9,0,0,The engine failed on takeoff and the plane stalled and crashed.
10/24/1945,,"Tarapoto, Peru",48.117266,-1.6777926,Faucett,,,Faucett F-19,OB-PAG-139,24,5,4,1,5,4,1,0,Crashed on takeoff.
10/30/1945,19:15,"Chihchiang, China",50.91535,4.4787175,Military - U.S. Army Air Forces,,Zhijiang - Shanghai,Curtiss-Wright C-46A-CK,43-47228,299,50,46,4,45,44,1,0,Crashed and burned on takeoff striking a hill.  Possible engine failure or overloading.
11/1/1945,15:30,"Herrenalb, Germany",39.904211,116.407395,Military - U.S. Army Air Forces,,Bovingdon - Schleissheim,Douglas C-47A-DK,42-93041,12909,30,26,4,26,22,4,0,The crew descended through low overcast to obtain their position.  Followed an river and crashed into wooded mountainside.  Navigator error in not informing the pilot of high terrain.
11/3/1945,2:00,"Near Chuka, India",23.1290799,113.26436,Military - U.S. Army Air Forces,,Chabua - Karachi,Douglas C-54G,45528A,35981,44,40,4,44,40,4,0,Crashed into the Himalaysas and burned while en route. Wreckage found a month later.
11/7/1945,11:15,"Near Grants, New Mexico",-9.8627946,124.3310364,National Skyway Freight Co.,,Alberquerque -,Budd RB-1 Conestoga,,,3,0,3,1,0,1,0,"After refueling in Alberquerque, the plane, carrying magazins to the west coast, crashed and burned after encountering snow and strong winds. The flight engineer survived."
11/8/1945,20:00,"Off Corpus Christi, Texas",20.593684,78.96288,Military - U.S. Navy / Military - U.S. Navy,,,Martin PBM-3S  / Martin PBM-5,01710 / 69113,,27,NULL,NULL,22,NULL,NULL,0,The aircraft expierence a midair collision over Corpus Christi Bay while on a training flight.
11/9/1945,20:00,"Near Boccadi, Italy",-6.4824784,-76.3726891,Military - U.S. Army Air Forces,,Athens - Naples,Douglas C-47A-DL,42-24363,10225,24,20,4,24,20,4,0,"The pilot radioed he was lost, shortly before impacting the ground while attempting to land in poor visibility."
11/11/1945,23:45,"Near Castel, Libya",35.8992375,14.5140996,Military -Royal Air Force,,,Short Stirling,PJ950,,29,22,7,29,22,7,0,"While taking off the aircraft experienced an engine fire, stalled and crashed and burned."
11/11/1945,,Himalayas,35.86166,104.195397,Military - U.S. Army,,"Chabau, India - Karachi, Pakistan",Douglas C-54,,,44,NULL,NULL,44,NULL,NULL,0,"Crashed into a mountain ridge 200 ft. short of the summit, bounced over the top and crashed down the other side while  en route."
11/11/1945,12:00,"Near Picinisco, Italy",48.7986201,8.4400257,Military - U.S. Army Air Forces,,France - Athens,Boeing B-17G,43-9197,10175,20,16,4,20,16,4,0,The plane disappeared after the pilot radioed he was exeriencing heavy icing and asked to divert to Rome.  The plane was found 5 months later on Mt. Meta.
11/13/1945,20:15,"Near Tacloban, Philippines",25.4263309,83.1179848,Australian National Airways,,,Douglas C-48,VH-CDC,,17,14,3,16,13,3,NULL,"Crashed into the sea afte an aborted landing at the island of Leyte. The plane touched down hard, pulled up, circled and crashed into the sea. Pilot error. Decision to land in unfavorable weather."
11/15/1945,9:14,Near Jacquinot Bay  New Guinea,35.14726,-107.8514466,Military - Royal Australian Air Force,,Lae - Finschhafen - Jacquinot Bay - Rabaul,Douglas C-47 Dakota-DK,A6554,26640,28,25,3,28,25,3,0,"Crashed into a 7,598 ft. mountain in the region of Wide Bay, 150 feet below the ridge, shortly after taking off. There were Australian and Indian soldiers on board."
11/22/1945,10:00,"White's Farm, England",27.7963877,-97.4030121,Military -Royal Air Force,,Merryfield - Bombay,Consolidated LB-30A Liberator,KH126,,27,22,5,27,22,5,0,"The aircraft crashed into a hill shortly after takeoff after and  making a turn, before reaching the prescribed altitude."
12/3/1945,13:30,"Near Rochefort , France",45.2892862,10.4909212,Military -Royal Air Force,,"India - Cambridge, England",Consolidated LB-30A Liberator,KH125,,28,23,5,28,23,5,0,Crashed in severe turbulence in thunderstorms after losing the right wing and breaking up.
12/5/1945,20:00,Off the Florida coast,41.646072,13.8675407,Military - U.S. Navy,19,,Five Grumman TBM Avengers,,,14,0,14,14,0,14,0,"The five aircraft, (23307) (73209) (46325) (46094) (45714), flying out of the U.S. Naval Air Station at Fort Lauderdale, on a training mission,  became lost, ran out of fuel and crashed into the Atlantic Ocean.  No trace of the planes were ever found. This was the incident that began the ""Bermuda Triangle"" legend."
12/8/1945,1:13,"Near Billings, Montana",28.5983159,83.9310039,Military - U.S. Army,,Minneapolis - Fargo - Billings,Douglas C-47,45-0922,16925/34183,21,19,2,17,15,2,0,Crashed into a field after hitting trees while attempting to land in a snowstorm.
12/18/1945,10:10,"Voksenkollen, Norway",26.3351,17.228331,Military - Royal Air Force,,Down Ampney - Copenhagen - Oslo,Douglas C-47B,KN413,16090/32838,17,13,4,17,13,4,0,Flew into the side of a hill after icing caused loss of power while attempting to land.
12/25/1945,19:30,"Bangui, French Equatorial Africa",11.2223789,124.9922133,Air France,, Paris - Nâ€™Djamena - Bangui - Antananarivo,Lockheed 18 Lodestar,F-BALV,2380,8,5,3,8,5,3,0,The aircraft went out of control and crashed in a wooded area located about 60 km west of Bangui Airport.
12/25/1945,,"Near Dudinka, Russia",-5.5797795,151.4902483,Polyarnya Aviatsiya,,,Douglas DC-3,,,10,6,4,10,6,4,0,Crashed 50 miles northwest of Norilsk after catching fire in the air.
